diagnosis_code,description,severity_level,service
O41.1015,"Infection of amniotic sac and membranes, unspecified, first trimester, fetus 5",MCC,Pregnancy/Childbirth
O41.1019,"Infection of amniotic sac and membranes, unspecified, first trimester, other fetus",MCC,Pregnancy/Childbirth
O41.1020,"Infection of amniotic sac and membranes, unspecified, second trimester, not applicable or unspecified",MCC,Pregnancy/Childbirth
O41.1021,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 1",MCC,Pregnancy/Childbirth
O41.1022,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 2",MCC,Pregnancy/Childbirth
O41.1023,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 3",MCC,Pregnancy/Childbirth
O41.1024,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 4",MCC,Pregnancy/Childbirth
O41.1025,"Infection of amniotic sac and membranes, unspecified, second trimester, fetus 5",MCC,Pregnancy/Childbirth
O41.1029,"Infection of amniotic sac and membranes, unspecified, second trimester, other fetus",MCC,Pregnancy/Childbirth
O41.1030,"Infection of amniotic sac and membranes, unspecified, third trimester, not applicable or unspecified",MCC,Pregnancy/Childbirth
O41.1031,"Infection of amniotic sac and membranes, unspecified, third trimester, fetus 1",MCC,Pregnancy/Childbirth
O41.1032,"Infection of amniotic sac and membranes, unspecified, third trimester, fetus 2",MCC,Pregnancy/Childbirth
O41.1033,"Infection of amniotic sac and membranes, unspecified, third trimester, fetus 3",MCC,Pregnancy/Childbirth
O41.1034,"Infection of amniotic sac and membranes, unspecified, third trimester, fetus 4",MCC,Pregnancy/Childbirth
O41.1035,"Infection of amniotic sac and membranes, unspecified, third trimester, fetus 5",MCC,Pregnancy/Childbirth
O41.1039,"Infection of amniotic sac and membranes, unspecified, third trimester, other fetus",MCC,Pregnancy/Childbirth
O41.1210,"Chorioamnionitis, first trimester, not applicable or unspecified",MCC,Pregnancy/Childbirth
O41.1211,"Chorioamnionitis, first trimester, fetus 1",MCC,Pregnancy/Childbirth
O41.1212,"Chorioamnionitis, first trimester, fetus 2",MCC,Pregnancy/Childbirth
O41.1213,"Chorioamnionitis, first trimester, fetus 3",MCC,Pregnancy/Childbirth
O41.1214,"Chorioamnionitis, first trimester, fetus 4",MCC,Pregnancy/Childbirth
O41.1215,"Chorioamnionitis, first trimester, fetus 5",MCC,Pregnancy/Childbirth
O41.1219,"Chorioamnionitis, first trimester, other fetus",MCC,Pregnancy/Childbirth
O41.1220,"Chorioamnionitis, second trimester, not applicable or unspecified",MCC,Pregnancy/Childbirth
O41.1221,"Chorioamnionitis, second trimester, fetus 1",MCC,Pregnancy/Childbirth
O41.1222,"Chorioamnionitis, second trimester, fetus 2",MCC,Pregnancy/Childbirth
O41.1223,"Chorioamnionitis, second trimester, fetus 3",MCC,Pregnancy/Childbirth
O41.1224,"Chorioamnionitis, second trimester, fetus 4",MCC,Pregnancy/Childbirth
O41.1225,"Chorioamnionitis, second trimester, fetus 5",MCC,Pregnancy/Childbirth
O41.1229,"Chorioamnionitis, second trimester, other fetus",MCC,Pregnancy/Childbirth
O41.1230,"Chorioamnionitis, third trimester, not applicable or unspecified",MCC,Pregnancy/Childbirth
O41.1231,"Chorioamnionitis, third trimester, fetus 1",MCC,Pregnancy/Childbirth
O41.1232,"Chorioamnionitis, third trimester, fetus 2",MCC,Pregnancy/Childbirth
O41.1233,"Chorioamnionitis, third trimester, fetus 3",MCC,Pregnancy/Childbirth
O41.1234,"Chorioamnionitis, third trimester, fetus 4",MCC,Pregnancy/Childbirth
O41.1235,"Chorioamnionitis, third trimester, fetus 5",MCC,Pregnancy/Childbirth
O41.1239,"Chorioamnionitis, third trimester, other fetus",MCC,Pregnancy/Childbirth
O41.1410,"Placentitis, first trimester, not applicable or unspecified",MCC,Pregnancy/Childbirth
O41.1411,"Placentitis, first trimester, fetus 1",MCC,Pregnancy/Childbirth
O41.1412,"Placentitis, first trimester, fetus 2",MCC,Pregnancy/Childbirth
O41.1413,"Placentitis, first trimester, fetus 3",MCC,Pregnancy/Childbirth
O41.1414,"Placentitis, first trimester, fetus 4",MCC,Pregnancy/Childbirth
O41.1415,"Placentitis, first trimester, fetus 5",MCC,Pregnancy/Childbirth
O41.1419,"Placentitis, first trimester, other fetus",MCC,Pregnancy/Childbirth
O41.1420,"Placentitis, second trimester, not applicable or unspecified",MCC,Pregnancy/Childbirth
O41.1421,"Placentitis, second trimester, fetus 1",MCC,Pregnancy/Childbirth
O41.1422,"Placentitis, second trimester, fetus 2",MCC,Pregnancy/Childbirth
O41.1423,"Placentitis, second trimester, fetus 3",MCC,Pregnancy/Childbirth
O41.1424,"Placentitis, second trimester, fetus 4",MCC,Pregnancy/Childbirth
O41.1425,"Placentitis, second trimester, fetus 5",MCC,Pregnancy/Childbirth
O41.1429,"Placentitis, second trimester, other fetus",MCC,Pregnancy/Childbirth
O41.1430,"Placentitis, third trimester, not applicable or unspecified",MCC,Pregnancy/Childbirth
O41.1431,"Placentitis, third trimester, fetus 1",MCC,Pregnancy/Childbirth
O41.1432,"Placentitis, third trimester, fetus 2",MCC,Pregnancy/Childbirth
O41.1433,"Placentitis, third trimester, fetus 3",MCC,Pregnancy/Childbirth
O41.1434,"Placentitis, third trimester, fetus 4",MCC,Pregnancy/Childbirth
O41.1435,"Placentitis, third trimester, fetus 5",MCC,Pregnancy/Childbirth
O41.1439,"Placentitis, third trimester, other fetus",MCC,Pregnancy/Childbirth
O44.11,"Complete placenta previa with hemorrhage, first trimester",MCC,Pregnancy/Childbirth
O44.12,"Complete placenta previa with hemorrhage, second trimester",MCC,Pregnancy/Childbirth
O44.13,"Complete placenta previa with hemorrhage, third trimester",MCC,Pregnancy/Childbirth
O44.31,"Partial placenta previa with hemorrhage, first trimester",MCC,Pregnancy/Childbirth
O44.32,"Partial placenta previa with hemorrhage, second trimester",MCC,Pregnancy/Childbirth
O44.33,"Partial placenta previa with hemorrhage, third trimester",MCC,Pregnancy/Childbirth
O44.51,"Low lying placenta with hemorrhage, first trimester",MCC,Pregnancy/Childbirth
O44.52,"Low lying placenta with hemorrhage, second trimester",MCC,Pregnancy/Childbirth
O44.53,"Low lying placenta with hemorrhage, third trimester",MCC,Pregnancy/Childbirth
O45.001,"Premature separation of placenta with coagulation defect, unspecified, first trimester",MCC,Pregnancy/Childbirth
O45.002,"Premature separation of placenta with coagulation defect, unspecified, second trimester",MCC,Pregnancy/Childbirth
O45.003,"Premature separation of placenta with coagulation defect, unspecified, third trimester",MCC,Pregnancy/Childbirth
O45.011,"Premature separation of placenta with afibrinogenemia, first trimester",MCC,Pregnancy/Childbirth
O45.012,"Premature separation of placenta with afibrinogenemia, second trimester",MCC,Pregnancy/Childbirth
O45.013,"Premature separation of placenta with afibrinogenemia, third trimester",MCC,Pregnancy/Childbirth
O45.021,"Premature separation of placenta with disseminated intravascular coagulation, first trimester",MCC,Pregnancy/Childbirth
O45.022,"Premature separation of placenta with disseminated intravascular coagulation, second trimester",MCC,Pregnancy/Childbirth
O45.023,"Premature separation of placenta with disseminated intravascular coagulation, third trimester",MCC,Pregnancy/Childbirth
O45.091,"Premature separation of placenta with other coagulation defect, first trimester",MCC,Pregnancy/Childbirth
O45.092,"Premature separation of placenta with other coagulation defect, second trimester",MCC,Pregnancy/Childbirth
O45.093,"Premature separation of placenta with other coagulation defect, third trimester",MCC,Pregnancy/Childbirth
O45.8X1,"Other premature separation of placenta, first trimester",MCC,Pregnancy/Childbirth
O45.8X2,"Other premature separation of placenta, second trimester",MCC,Pregnancy/Childbirth
O45.8X3,"Other premature separation of placenta, third trimester",MCC,Pregnancy/Childbirth
O45.91,"Premature separation of placenta, unspecified, first trimester",MCC,Pregnancy/Childbirth
O45.92,"Premature separation of placenta, unspecified, second trimester",MCC,Pregnancy/Childbirth
O45.93,"Premature separation of placenta, unspecified, third trimester",MCC,Pregnancy/Childbirth
O46.001,"Antepartum hemorrhage with coagulation defect, unspecified, first trimester",MCC,Pregnancy/Childbirth
O46.002,"Antepartum hemorrhage with coagulation defect, unspecified, second trimester",MCC,Pregnancy/Childbirth
O46.003,"Antepartum hemorrhage with coagulation defect, unspecified, third trimester",MCC,Pregnancy/Childbirth
O46.011,"Antepartum hemorrhage with afibrinogenemia, first trimester",MCC,Pregnancy/Childbirth
O46.012,"Antepartum hemorrhage with afibrinogenemia, second trimester",MCC,Pregnancy/Childbirth
O46.013,"Antepartum hemorrhage with afibrinogenemia, third trimester",MCC,Pregnancy/Childbirth
O46.021,"Antepartum hemorrhage with disseminated intravascular coagulation, first trimester",MCC,Pregnancy/Childbirth
O46.022,"Antepartum hemorrhage with disseminated intravascular coagulation, second trimester",MCC,Pregnancy/Childbirth
O46.023,"Antepartum hemorrhage with disseminated intravascular coagulation, third trimester",MCC,Pregnancy/Childbirth
O46.091,"Antepartum hemorrhage with other coagulation defect, first trimester",MCC,Pregnancy/Childbirth
O46.092,"Antepartum hemorrhage with other coagulation defect, second trimester",MCC,Pregnancy/Childbirth
O46.093,"Antepartum hemorrhage with other coagulation defect, third trimester",MCC,Pregnancy/Childbirth
O60.02,"Preterm labor without delivery, second trimester",MCC,Pregnancy/Childbirth
O60.03,"Preterm labor without delivery, third trimester",MCC,Pregnancy/Childbirth
O60.12X0,"Preterm labor second trimester with preterm delivery second trimester, not applicable or unspecified",MCC,Pregnancy/Childbirth
O60.12X1,"Preterm labor second trimester with preterm delivery second trimester, fetus 1",MCC,Pregnancy/Childbirth
O60.12X2,"Preterm labor second trimester with preterm delivery second trimester, fetus 2",MCC,Pregnancy/Childbirth
O60.12X3,"Preterm labor second trimester with preterm delivery second trimester, fetus 3",MCC,Pregnancy/Childbirth
O60.12X4,"Preterm labor second trimester with preterm delivery second trimester, fetus 4",MCC,Pregnancy/Childbirth
O60.12X5,"Preterm labor second trimester with preterm delivery second trimester, fetus 5",MCC,Pregnancy/Childbirth
O60.12X9,"Preterm labor second trimester with preterm delivery second trimester, other fetus",MCC,Pregnancy/Childbirth
O60.13X0,"Preterm labor second trimester with preterm delivery third trimester, not applicable or unspecified",MCC,Pregnancy/Childbirth
O60.13X1,"Preterm labor second trimester with preterm delivery third trimester, fetus 1",MCC,Pregnancy/Childbirth
O60.13X2,"Preterm labor second trimester with preterm delivery third trimester, fetus 2",MCC,Pregnancy/Childbirth
O60.13X3,"Preterm labor second trimester with preterm delivery third trimester, fetus 3",MCC,Pregnancy/Childbirth
O60.13X4,"Preterm labor second trimester with preterm delivery third trimester, fetus 4",MCC,Pregnancy/Childbirth
O60.13X5,"Preterm labor second trimester with preterm delivery third trimester, fetus 5",MCC,Pregnancy/Childbirth
O60.13X9,"Preterm labor second trimester with preterm delivery third trimester, other fetus",MCC,Pregnancy/Childbirth
O60.14X0,"Preterm labor third trimester with preterm delivery third trimester, not applicable or unspecified",MCC,Pregnancy/Childbirth
O60.14X1,"Preterm labor third trimester with preterm delivery third trimester, fetus 1",MCC,Pregnancy/Childbirth
O60.14X2,"Preterm labor third trimester with preterm delivery third trimester, fetus 2",MCC,Pregnancy/Childbirth
O60.14X3,"Preterm labor third trimester with preterm delivery third trimester, fetus 3",MCC,Pregnancy/Childbirth
O60.14X4,"Preterm labor third trimester with preterm delivery third trimester, fetus 4",MCC,Pregnancy/Childbirth
O60.14X5,"Preterm labor third trimester with preterm delivery third trimester, fetus 5",MCC,Pregnancy/Childbirth
O60.14X9,"Preterm labor third trimester with preterm delivery third trimester, other fetus",MCC,Pregnancy/Childbirth
O60.22X0,"Term delivery with preterm labor, second trimester, not applicable or unspecified",MCC,Pregnancy/Childbirth
O60.22X1,"Term delivery with preterm labor, second trimester, fetus 1",MCC,Pregnancy/Childbirth
O60.22X2,"Term delivery with preterm labor, second trimester, fetus 2",MCC,Pregnancy/Childbirth
O60.22X3,"Term delivery with preterm labor, second trimester, fetus 3",MCC,Pregnancy/Childbirth
O60.22X4,"Term delivery with preterm labor, second trimester, fetus 4",MCC,Pregnancy/Childbirth
O60.22X5,"Term delivery with preterm labor, second trimester, fetus 5",MCC,Pregnancy/Childbirth
O60.22X9,"Term delivery with preterm labor, second trimester, other fetus",MCC,Pregnancy/Childbirth
O60.23X0,"Term delivery with preterm labor, third trimester, not applicable or unspecified",MCC,Pregnancy/Childbirth
O60.23X1,"Term delivery with preterm labor, third trimester, fetus 1",MCC,Pregnancy/Childbirth
O60.23X2,"Term delivery with preterm labor, third trimester, fetus 2",MCC,Pregnancy/Childbirth
O60.23X3,"Term delivery with preterm labor, third trimester, fetus 3",MCC,Pregnancy/Childbirth
O60.23X4,"Term delivery with preterm labor, third trimester, fetus 4",MCC,Pregnancy/Childbirth
O60.23X5,"Term delivery with preterm labor, third trimester, fetus 5",MCC,Pregnancy/Childbirth
O60.23X9,"Term delivery with preterm labor, third trimester, other fetus",MCC,Pregnancy/Childbirth
O67.0,Intrapartum hemorrhage with coagulation defect,MCC,Pregnancy/Childbirth
O71.02,"Rupture of uterus before onset of labor, second trimester",MCC,Pregnancy/Childbirth
O71.03,"Rupture of uterus before onset of labor, third trimester",MCC,Pregnancy/Childbirth
O71.1,Rupture of uterus during labor,MCC,Pregnancy/Childbirth
O75.1,Shock during or following labor and delivery,MCC,Pregnancy/Childbirth
O75.3,Other infection during labor,MCC,Pregnancy/Childbirth
O85,Puerperal sepsis,MCC,Pregnancy/Childbirth
O86.04,Sepsis following an obstetrical procedure,MCC,Pregnancy/Childbirth
O86.81,Puerperal septic thrombophlebitis,MCC,Pregnancy/Childbirth
O86.89,Other specified puerperal infections,MCC,Pregnancy/Childbirth
O87.1,Deep phlebothrombosis in the puerperium,MCC,Pregnancy/Childbirth
O88.011,"Air embolism in pregnancy, first trimester",MCC,Pregnancy/Childbirth
O88.012,"Air embolism in pregnancy, second trimester",MCC,Pregnancy/Childbirth
O88.013,"Air embolism in pregnancy, third trimester",MCC,Pregnancy/Childbirth
O88.02,Air embolism in childbirth,MCC,Pregnancy/Childbirth
O88.03,Air embolism in the puerperium,MCC,Pregnancy/Childbirth
O88.111,"Amniotic fluid embolism in pregnancy, first trimester",MCC,Pregnancy/Childbirth
O88.112,"Amniotic fluid embolism in pregnancy, second trimester",MCC,Pregnancy/Childbirth
O88.113,"Amniotic fluid embolism in pregnancy, third trimester",MCC,Pregnancy/Childbirth
O88.12,Amniotic fluid embolism in childbirth,MCC,Pregnancy/Childbirth
O88.13,Amniotic fluid embolism in the puerperium,MCC,Pregnancy/Childbirth
O88.211,"Thromboembolism in pregnancy, first trimester",MCC,Pregnancy/Childbirth
O88.212,"Thromboembolism in pregnancy, second trimester",MCC,Pregnancy/Childbirth
O88.213,"Thromboembolism in pregnancy, third trimester",MCC,Pregnancy/Childbirth
O88.22,Thromboembolism in childbirth,MCC,Pregnancy/Childbirth
O88.23,Thromboembolism in the puerperium,MCC,Pregnancy/Childbirth
O88.311,"Pyemic and septic embolism in pregnancy, first trimester",MCC,Pregnancy/Childbirth
O88.312,"Pyemic and septic embolism in pregnancy, second trimester",MCC,Pregnancy/Childbirth
O88.313,"Pyemic and septic embolism in pregnancy, third trimester",MCC,Pregnancy/Childbirth
O88.32,Pyemic and septic embolism in childbirth,MCC,Pregnancy/Childbirth
O88.33,Pyemic and septic embolism in the puerperium,MCC,Pregnancy/Childbirth
O88.811,"Other embolism in pregnancy, first trimester",MCC,Pregnancy/Childbirth
O88.812,"Other embolism in pregnancy, second trimester",MCC,Pregnancy/Childbirth
O88.813,"Other embolism in pregnancy, third trimester",MCC,Pregnancy/Childbirth
O88.82,Other embolism in childbirth,MCC,Pregnancy/Childbirth
O88.83,Other embolism in the puerperium,MCC,Pregnancy/Childbirth
O90.3,Peripartum cardiomyopathy,MCC,Pregnancy/Childbirth
O90.41,Hepatorenal syndrome following labor and delivery,MCC,Pregnancy/Childbirth
O90.49,Other postpartum acute kidney failure,MCC,Pregnancy/Childbirth
O99.42,Diseases of the circulatory system complicating childbirth,MCC,Pregnancy/Childbirth
P10.0,Subdural hemorrhage due to birth injury,MCC,Perinatal Conditions
P10.1,Cerebral hemorrhage due to birth injury,MCC,Perinatal Conditions
P10.3,Subarachnoid hemorrhage due to birth injury,MCC,Perinatal Conditions
P10.4,Tentorial tear due to birth injury,MCC,Perinatal Conditions
P10.8,Other intracranial lacerations and hemorrhages due to birth injury,MCC,Perinatal Conditions
P10.9,Unspecified intracranial laceration and hemorrhage due to birth injury,MCC,Perinatal Conditions
P11.0,Cerebral edema due to birth injury,MCC,Perinatal Conditions
P11.2,Unspecified brain damage due to birth injury,MCC,Perinatal Conditions
P11.9,"Birth injury to central nervous system, unspecified",MCC,Perinatal Conditions
P22.0,Respiratory distress syndrome of newborn,MCC,Perinatal Conditions
P23.0,Congenital pneumonia due to viral agent,MCC,Perinatal Conditions
P23.1,Congenital pneumonia due to Chlamydia,MCC,Perinatal Conditions
P23.2,Congenital pneumonia due to staphylococcus,MCC,Perinatal Conditions
P23.3,"Congenital pneumonia due to streptococcus, group B",MCC,Perinatal Conditions
P23.4,Congenital pneumonia due to Escherichia coli,MCC,Perinatal Conditions
P23.5,Congenital pneumonia due to Pseudomonas,MCC,Perinatal Conditions
P23.6,Congenital pneumonia due to other bacterial agents,MCC,Perinatal Conditions
P23.8,Congenital pneumonia due to other organisms,MCC,Perinatal Conditions
P23.9,"Congenital pneumonia, unspecified",MCC,Perinatal Conditions
P24.01,Meconium aspiration with respiratory symptoms,MCC,Perinatal Conditions
P24.11,Neonatal aspiration of (clear) amniotic fluid and mucus with respiratory symptoms,MCC,Perinatal Conditions
P24.21,Neonatal aspiration of blood with respiratory symptoms,MCC,Perinatal Conditions
P24.31,Neonatal aspiration of milk and regurgitated food with respiratory symptoms,MCC,Perinatal Conditions
P24.81,Other neonatal aspiration with respiratory symptoms,MCC,Perinatal Conditions
P25.0,Interstitial emphysema originating in the perinatal period,MCC,Perinatal Conditions
P25.1,Pneumothorax originating in the perinatal period,MCC,Perinatal Conditions
P25.2,Pneumomediastinum originating in the perinatal period,MCC,Perinatal Conditions
P25.3,Pneumopericardium originating in the perinatal period,MCC,Perinatal Conditions
P25.8,Other conditions related to interstitial emphysema originating in the perinatal period,MCC,Perinatal Conditions
P26.0,Tracheobronchial hemorrhage originating in the perinatal period,MCC,Perinatal Conditions
P26.1,Massive pulmonary hemorrhage originating in the perinatal period,MCC,Perinatal Conditions
P26.8,Other pulmonary hemorrhages originating in the perinatal period,MCC,Perinatal Conditions
P26.9,Unspecified pulmonary hemorrhage originating in the perinatal period,MCC,Perinatal Conditions
P27.0,Wilson-Mikity syndrome,MCC,Perinatal Conditions
P27.1,Bronchopulmonary dysplasia originating in the perinatal period,MCC,Perinatal Conditions
P27.8,Other chronic respiratory diseases originating in the perinatal period,MCC,Perinatal Conditions
P27.9,Unspecified chronic respiratory disease originating in the perinatal period,MCC,Perinatal Conditions
P28.5,Respiratory failure of newborn,MCC,Perinatal Conditions
P28.81,Respiratory arrest of newborn,MCC,Perinatal Conditions
P29.30,Pulmonary hypertension of newborn,MCC,Perinatal Conditions
P29.38,Other persistent fetal circulation,MCC,Perinatal Conditions
P29.81,Cardiac arrest of newborn,MCC,Perinatal Conditions
P35.1,Congenital cytomegalovirus infection,MCC,Perinatal Conditions
P35.2,Congenital herpesviral [herpes simplex] infection,MCC,Perinatal Conditions
P35.3,Congenital viral hepatitis,MCC,Perinatal Conditions
P35.4,Congenital Zika virus disease,MCC,Perinatal Conditions
P35.8,Other congenital viral diseases,MCC,Perinatal Conditions
P35.9,"Congenital viral disease, unspecified",MCC,Perinatal Conditions
P36.0,"Sepsis of newborn due to streptococcus, group B",MCC,Perinatal Conditions
P36.10,Sepsis of newborn due to unspecified streptococci,MCC,Perinatal Conditions
P36.19,Sepsis of newborn due to other streptococci,MCC,Perinatal Conditions
P36.2,Sepsis of newborn due to Staphylococcus aureus,MCC,Perinatal Conditions
P36.30,Sepsis of newborn due to unspecified staphylococci,MCC,Perinatal Conditions
P36.39,Sepsis of newborn due to other staphylococci,MCC,Perinatal Conditions
P36.4,Sepsis of newborn due to Escherichia coli,MCC,Perinatal Conditions
P36.5,Sepsis of newborn due to anaerobes,MCC,Perinatal Conditions
P36.8,Other bacterial sepsis of newborn,MCC,Perinatal Conditions
P36.9,"Bacterial sepsis of newborn, unspecified",MCC,Perinatal Conditions
P37.0,Congenital tuberculosis,MCC,Perinatal Conditions
P37.1,Congenital toxoplasmosis,MCC,Perinatal Conditions
P37.2,Neonatal (disseminated) listeriosis,MCC,Perinatal Conditions
P37.3,Congenital falciparum malaria,MCC,Perinatal Conditions
P37.4,Other congenital malaria,MCC,Perinatal Conditions
P37.8,Other specified congenital infectious and parasitic diseases,MCC,Perinatal Conditions
P37.9,"Congenital infectious or parasitic disease, unspecified",MCC,Perinatal Conditions
P52.21,"Intraventricular (nontraumatic) hemorrhage, grade 3, of newborn",MCC,Perinatal Conditions
P52.22,"Intraventricular (nontraumatic) hemorrhage, grade 4, of newborn",MCC,Perinatal Conditions
P52.4,Intracerebral (nontraumatic) hemorrhage of newborn,MCC,Perinatal Conditions
P52.5,Subarachnoid (nontraumatic) hemorrhage of newborn,MCC,Perinatal Conditions
P52.6,Cerebellar (nontraumatic) and posterior fossa hemorrhage of newborn,MCC,Perinatal Conditions
P52.8,Other intracranial (nontraumatic) hemorrhages of newborn,MCC,Perinatal Conditions
P52.9,"Intracranial (nontraumatic) hemorrhage of newborn, unspecified",MCC,Perinatal Conditions
P54.1,Neonatal melena,MCC,Perinatal Conditions
P54.2,Neonatal rectal hemorrhage,MCC,Perinatal Conditions
P54.3,Other neonatal gastrointestinal hemorrhage,MCC,Perinatal Conditions
P56.0,Hydrops fetalis due to isoimmunization,MCC,Perinatal Conditions
P56.90,Hydrops fetalis due to unspecified hemolytic disease,MCC,Perinatal Conditions
P56.99,Hydrops fetalis due to other hemolytic disease,MCC,Perinatal Conditions
P57.0,Kernicterus due to isoimmunization,MCC,Perinatal Conditions
P57.8,Other specified kernicterus,MCC,Perinatal Conditions
P57.9,"Kernicterus, unspecified",MCC,Perinatal Conditions
P59.1,Inspissated bile syndrome,MCC,Perinatal Conditions
P59.20,Neonatal jaundice from unspecified hepatocellular damage,MCC,Perinatal Conditions
P59.29,Neonatal jaundice from other hepatocellular damage,MCC,Perinatal Conditions
P60,Disseminated intravascular coagulation of newborn,MCC,Perinatal Conditions
P61.0,Transient neonatal thrombocytopenia,MCC,Perinatal Conditions
P61.5,Transient neonatal neutropenia,MCC,Perinatal Conditions
P74.0,Late metabolic acidosis of newborn,MCC,Perinatal Conditions
P77.1,Stage 1 necrotizing enterocolitis in newborn,MCC,Perinatal Conditions
P77.2,Stage 2 necrotizing enterocolitis in newborn,MCC,Perinatal Conditions
P77.3,Stage 3 necrotizing enterocolitis in newborn,MCC,Perinatal Conditions
P77.9,"Necrotizing enterocolitis in newborn, unspecified",MCC,Perinatal Conditions
P78.0,Perinatal intestinal perforation,MCC,Perinatal Conditions
P83.2,Hydrops fetalis not due to hemolytic disease,MCC,Perinatal Conditions
P90,Convulsions of newborn,MCC,Perinatal Conditions
P91.0,Neonatal cerebral ischemia,MCC,Perinatal Conditions
P91.1,Acquired periventricular cysts of newborn,MCC,Perinatal Conditions
P91.2,Neonatal cerebral leukomalacia,MCC,Perinatal Conditions
P91.3,Neonatal cerebral irritability,MCC,Perinatal Conditions
P91.4,Neonatal cerebral depression,MCC,Perinatal Conditions
P91.5,Neonatal coma,MCC,Perinatal Conditions
P91.63,Severe hypoxic ischemic encephalopathy [HIE],MCC,Perinatal Conditions
P91.821,"Neonatal cerebral infarction, right side of brain",MCC,Perinatal Conditions
P91.822,"Neonatal cerebral infarction, left side of brain",MCC,Perinatal Conditions
P91.823,"Neonatal cerebral infarction, bilateral",MCC,Perinatal Conditions
P91.829,"Neonatal cerebral infarction, unspecified side",MCC,Perinatal Conditions
P92.01,Bilious vomiting of newborn,MCC,Perinatal Conditions
Q00.0,Anencephaly,MCC,Congenital Malformations
Q00.1,Craniorachischisis,MCC,Congenital Malformations
Q00.2,Iniencephaly,MCC,Congenital Malformations
Q04.0,Congenital malformations of corpus callosum,MCC,Congenital Malformations
Q04.1,Arhinencephaly,MCC,Congenital Malformations
Q04.2,Holoprosencephaly,MCC,Congenital Malformations
Q04.3,Other reduction deformities of brain,MCC,Congenital Malformations
Q20.0,Common arterial trunk,MCC,Congenital Malformations
Q20.1,Double outlet right ventricle,MCC,Congenital Malformations
Q20.2,Double outlet left ventricle,MCC,Congenital Malformations
Q20.3,Discordant ventriculoarterial connection,MCC,Congenital Malformations
Q20.4,Double inlet ventricle,MCC,Congenital Malformations
Q21.3,Tetralogy of Fallot,MCC,Congenital Malformations
Q22.0,Pulmonary valve atresia,MCC,Congenital Malformations
Q22.4,Congenital tricuspid stenosis,MCC,Congenital Malformations
Q22.5,Ebstein's anomaly,MCC,Congenital Malformations
Q22.6,Hypoplastic right heart syndrome,MCC,Congenital Malformations
Q22.8,Other congenital malformations of tricuspid valve,MCC,Congenital Malformations
Q22.9,"Congenital malformation of tricuspid valve, unspecified",MCC,Congenital Malformations
Q23.4,Hypoplastic left heart syndrome,MCC,Congenital Malformations
Q24.2,Cor triatriatum,MCC,Congenital Malformations
Q24.4,Congenital subaortic stenosis,MCC,Congenital Malformations
Q24.6,Congenital heart block,MCC,Congenital Malformations
Q25.5,Atresia of pulmonary artery,MCC,Congenital Malformations
Q25.6,Stenosis of pulmonary artery,MCC,Congenital Malformations
Q25.71,Coarctation of pulmonary artery,MCC,Congenital Malformations
Q25.72,Congenital pulmonary arteriovenous malformation,MCC,Congenital Malformations
Q25.79,Other congenital malformations of pulmonary artery,MCC,Congenital Malformations
Q28.2,Arteriovenous malformation of cerebral vessels,MCC,Congenital Malformations
Q28.3,Other malformations of cerebral vessels,MCC,Congenital Malformations
Q33.2,Sequestration of lung,MCC,Congenital Malformations
Q33.3,Agenesis of lung,MCC,Congenital Malformations
Q33.6,Congenital hypoplasia and dysplasia of lung,MCC,Congenital Malformations
Q39.0,Atresia of esophagus without fistula,MCC,Congenital Malformations
Q39.1,Atresia of esophagus with tracheo-esophageal fistula,MCC,Congenital Malformations
Q39.2,Congenital tracheo-esophageal fistula without atresia,MCC,Congenital Malformations
Q39.3,Congenital stenosis and stricture of esophagus,MCC,Congenital Malformations
Q39.4,Esophageal web,MCC,Congenital Malformations
Q44.2,Atresia of bile ducts,MCC,Congenital Malformations
Q44.3,Congenital stenosis and stricture of bile ducts,MCC,Congenital Malformations
Q79.0,Congenital diaphragmatic hernia,MCC,Congenital Malformations
Q79.1,Other congenital malformations of diaphragm,MCC,Congenital Malformations
Q79.2,Exomphalos,MCC,Congenital Malformations
Q79.3,Gastroschisis,MCC,Congenital Malformations
Q79.4,Prune belly syndrome,MCC,Congenital Malformations
Q79.51,Congenital hernia of bladder,MCC,Congenital Malformations
Q79.59,Other congenital malformations of abdominal wall,MCC,Congenital Malformations
Q89.4,Conjoined twins,MCC,Congenital Malformations
Q93.81,Velo-cardio-facial syndrome,MCC,Congenital Malformations
R09.2,Respiratory arrest,MCC,Symptoms/Signs/Abnormal Findings
R40.20,Unspecified coma,MCC,Symptoms/Signs/Abnormal Findings
R40.2110,"Coma scale, eyes open, never, unspecified time",MCC,Symptoms/Signs/Abnormal Findings
R40.2111,"Coma scale, eyes open, never, in the field [EMT or ambulance]",MCC,Symptoms/Signs/Abnormal Findings
R40.2112,"Coma scale, eyes open, never, at arrival to emergency department",MCC,Symptoms/Signs/Abnormal Findings
R40.2113,"Coma scale, eyes open, never, at hospital admission",MCC,Symptoms/Signs/Abnormal Findings
R40.2114,"Coma scale, eyes open, never, 24 hours or more after hospital admission",MCC,Symptoms/Signs/Abnormal Findings
R40.2120,"Coma scale, eyes open, to pain, unspecified time",MCC,Symptoms/Signs/Abnormal Findings
