provider_number,case_mix_index,total_cases,total_relative_weights,service
100039,2.0626,2777,5727.87,High Complexity
100040,2.3127,3599,8323.27,High Complexity
100043,1.4651,1299,1903.12,Medium Complexity
100044,1.6886,10446,17638.79,Medium-High Complexity
100045,1.6471,2394,3943.20,Medium-High Complexity
100046,1.6945,2396,4059.91,Medium-High Complexity
100047,1.4160,1157,1638.26,Medium Complexity
100049,1.9018,1043,1983.53,Medium-High Complexity
100050,1.6632,846,1407.08,Medium-High Complexity
100051,1.6256,4381,7121.71,Medium-High Complexity
100052,1.8118,3490,6323.29,Medium-High Complexity
100053,1.7486,736,1286.98,Medium-High Complexity
100054,1.6534,926,1531.07,Medium-High Complexity
100055,1.6293,1416,2307.03,Medium-High Complexity
100057,1.6916,5748,9723.59,Medium-High Complexity
100062,1.7936,4250,7622.77,Medium-High Complexity
100063,1.4842,1859,2759.18,Medium Complexity
100067,1.7427,4748,8274.40,Medium-High Complexity
100068,2.1642,6030,13050.26,High Complexity
100069,2.0600,1183,2437.04,High Complexity
100071,1.4596,1977,2885.62,Medium Complexity
100072,1.6777,2670,4479.43,Medium-High Complexity
100073,1.9065,4512,8602.01,Medium-High Complexity
100075,1.7850,9450,16867.98,Medium-High Complexity
100077,1.9282,2764,5329.54,Medium-High Complexity
100080,1.9997,6634,13266.11,Medium-High Complexity
100084,1.8419,4585,8445.00,Medium-High Complexity
100086,1.8171,2534,4604.60,Medium-High Complexity
100087,1.9182,18546,35575.35,Medium-High Complexity
100088,1.9804,14325,28368.78,Medium-High Complexity
100090,1.8133,3876,7028.46,Medium-High Complexity
100092,1.7361,1611,2796.82,Medium-High Complexity
100093,2.1462,4839,10385.36,High Complexity
100099,1.5235,796,1212.73,Medium-High Complexity
100105,1.8994,5761,10942.71,Medium-High Complexity
100107,1.4573,381,555.25,Medium Complexity
100109,1.7154,3616,6203.01,Medium-High Complexity
100110,2.0348,2553,5194.87,High Complexity
100113,2.2609,9500,21478.87,High Complexity
100117,1.5329,2618,4013.11,Medium-High Complexity
100118,1.7645,2360,4164.27,Medium-High Complexity
100121,1.5787,660,1041.95,Medium-High Complexity
100122,1.6119,1862,3001.44,Medium-High Complexity
100124,1.7302,982,1699.04,Medium-High Complexity
100125,1.6605,870,1444.67,Medium-High Complexity
100126,1.6742,1151,1926.99,Medium-High Complexity
100127,1.8960,7317,13872.83,Medium-High Complexity
100128,2.2906,8522,19520.09,High Complexity
100130,1.7950,80,143.60,Medium-High Complexity
100131,1.9213,3377,6488.12,Medium-High Complexity
100132,1.6242,1161,1885.64,Medium-High Complexity
100134,0.9883,217,214.47,Low Complexity
100135,2.0216,4554,9206.53,High Complexity
100137,1.8308,1484,2716.85,Medium-High Complexity
100140,1.4331,1344,1926.08,Medium Complexity
100142,1.2611,764,963.49,Medium Complexity
100150,1.5016,741,1112.67,Medium-High Complexity
100151,2.4952,9444,23564.97,High Complexity
100154,1.9562,2333,4563.72,Medium-High Complexity
100156,1.4500,2375,3443.74,Medium Complexity
100157,1.7703,8968,15875.91,Medium-High Complexity
100161,1.9368,1863,3608.26,Medium-High Complexity
100166,1.6832,2763,4650.62,Medium-High Complexity
100167,1.8140,1517,2751.89,Medium-High Complexity
100168,1.7876,8217,14688.70,Medium-High Complexity
100173,2.0588,4832,9948.29,High Complexity
100175,1.3091,263,344.30,Medium Complexity
100176,1.9646,3350,6581.29,Medium-High Complexity
100177,1.7405,2213,3851.65,Medium-High Complexity
100179,2.0845,3344,6970.48,High Complexity
100180,1.5946,758,1208.70,Medium-High Complexity
100181,1.4583,979,1427.68,Medium Complexity
100183,1.5149,654,990.73,Medium-High Complexity
100187,2.1474,1386,2976.25,High Complexity
100189,1.8109,2075,3757.61,Medium-High Complexity
100191,1.6669,2598,4330.61,Medium-High Complexity
100200,1.5905,923,1468.06,Medium-High Complexity
100204,1.8513,8220,15217.93,Medium-High Complexity
100206,1.6352,1286,2102.81,Medium-High Complexity
100209,2.1290,1889,4021.73,High Complexity
100211,1.5261,863,1317.00,Medium-High Complexity
100212,1.8006,9555,17204.32,Medium-High Complexity
100213,1.9535,3640,7110.91,Medium-High Complexity
100217,1.8258,1114,2033.91,Medium-High Complexity
100220,1.8713,10263,19205.05,Medium-High Complexity
100223,1.8835,4306,8110.46,Medium-High Complexity
100224,1.6756,1593,2669.26,Medium-High Complexity
100226,1.8827,3776,7109.09,Medium-High Complexity
100228,2.0232,2832,5729.80,High Complexity
100230,1.4138,1094,1546.70,Medium Complexity
100231,1.7969,4330,7780.71,Medium-High Complexity
100232,1.5366,1298,1994.49,Medium-High Complexity
100236,1.9885,4054,8061.39,Medium-High Complexity
100238,1.8499,2268,4195.51,Medium-High Complexity
100242,1.8112,3685,6674.17,Medium-High Complexity
100243,1.8134,3852,6985.30,Medium-High Complexity
100244,1.6198,4871,7890.21,Medium-High Complexity
100246,2.0236,4577,9262.08,High Complexity
100248,2.4065,2807,6755.05,High Complexity
100249,1.6204,2129,3449.79,Medium-High Complexity
100252,1.5092,1029,1552.98,Medium-High Complexity
100253,1.8625,5923,11031.63,Medium-High Complexity
100254,1.7179,2530,4346.18,Medium-High Complexity
100256,1.9421,3551,6896.43,Medium-High Complexity
100258,2.0186,7171,14475.57,High Complexity
100259,1.4904,2159,3217.85,Medium Complexity
100260,1.5300,3552,5434.54,Medium-High Complexity
100264,1.6551,4463,7386.70,Medium-High Complexity
100265,1.6373,5263,8616.89,Medium-High Complexity
100266,1.5515,1152,1787.35,Medium-High Complexity
100267,1.4786,1703,2518.14,Medium Complexity
100268,1.6698,1513,2526.47,Medium-High Complexity
100269,1.6753,1767,2960.28,Medium-High Complexity
100275,1.6765,2368,3970.01,Medium-High Complexity
100276,1.5888,1658,2634.25,Medium-High Complexity
100277,0.9471,19,17.99,Low Complexity
100281,1.6066,3494,5613.42,Medium-High Complexity
100284,1.3733,1079,1481.83,Medium Complexity
100285,1.3636,953,1299.54,Medium Complexity
100286,1.7865,6491,11596.39,Medium-High Complexity
100287,1.8595,2396,4455.31,Medium-High Complexity
100288,2.1132,1655,3497.38,High Complexity
100289,2.4638,3767,9281.24,High Complexity
100290,1.5707,5334,8377.91,Medium-High Complexity
100291,1.9435,1060,2060.09,Medium-High Complexity
100292,1.8099,1767,3198.09,Medium-High Complexity
100296,1.6969,1235,2095.72,Medium-High Complexity
100299,1.7668,2726,4816.17,Medium-High Complexity
100302,1.3868,1289,1787.54,Medium Complexity
100307,2.1076,1513,3188.86,High Complexity
100313,1.2214,107,130.69,Medium Complexity
100314,1.6372,1469,2405.08,Medium-High Complexity
100315,1.4544,2396,3484.65,Medium Complexity
100316,1.4486,2291,3318.85,Medium Complexity
100319,1.7257,2686,4635.14,Medium-High Complexity
100320,1.4167,687,973.30,Medium Complexity
100321,1.7557,1761,3091.75,Medium-High Complexity
100329,1.5221,966,1470.38,Medium-High Complexity
100330,1.8069,435,786.00,Medium-High Complexity
100350,1.4061,368,517.44,Medium Complexity
100359,1.4985,5803,8695.76,Medium Complexity
100360,1.7573,492,864.61,Medium-High Complexity
100361,1.6606,588,976.45,Medium-High Complexity
100362,1.5907,551,876.46,Medium-High Complexity
100363,1.4925,1853,2765.53,Medium Complexity
110001,1.6657,2422,4034.36,Medium-High Complexity
110002,1.6489,609,1004.18,Medium-High Complexity
110003,1.5058,1280,1927.47,Medium-High Complexity
110005,1.7228,4877,8402.19,Medium-High Complexity
110006,1.9694,2141,4216.44,Medium-High Complexity
110007,1.8419,2709,4989.78,Medium-High Complexity
110008,1.7476,4561,7971.00,Medium-High Complexity
110010,2.8171,5400,15212.55,High Complexity
110011,1.7331,2482,4301.60,Medium-High Complexity
110015,1.5319,854,1308.25,Medium-High Complexity
110016,1.6540,1604,2653.07,Medium-High Complexity
110018,1.5793,1204,1901.51,Medium-High Complexity
110023,1.7051,1044,1780.10,Medium-High Complexity
110024,1.7734,1927,3417.25,Medium-High Complexity
110025,1.7669,2896,5117.08,Medium-High Complexity
110027,1.3077,414,541.39,Medium Complexity
110028,1.8714,4932,9229.66,Medium-High Complexity
110029,2.0331,9297,18901.58,High Complexity
110030,1.6086,1799,2893.95,Medium-High Complexity
110031,1.6893,1387,2343.03,Medium-High Complexity
110032,1.2399,306,379.41,Medium Complexity
110034,2.2334,3287,7341.17,High Complexity
110035,2.0913,9146,19127.29,High Complexity
110036,2.2379,5298,11856.44,High Complexity
110038,1.7697,1573,2783.75,Medium-High Complexity
110041,1.1200,398,445.78,Low-Medium Complexity
110042,1.4980,2367,3545.81,Medium Complexity
110043,2.0546,3094,6356.86,High Complexity
110044,1.5258,547,834.61,Medium-High Complexity
110045,1.2114,265,321.02,Medium Complexity
110046,1.5151,1064,1612.11,Medium-High Complexity
110050,1.3748,237,325.83,Medium Complexity
110051,1.2085,942,1138.43,Medium Complexity
110054,1.6754,3019,5058.14,Medium-High Complexity
110064,2.0716,2471,5118.80,High Complexity
110069,1.6103,3113,5012.99,Medium-High Complexity
110071,1.1546,72,83.13,Low-Medium Complexity
110073,1.1294,110,124.23,Low-Medium Complexity
110074,1.9076,5633,10745.79,Medium-High Complexity
110075,1.7432,1733,3020.96,Medium-High Complexity
110076,1.8066,1824,3295.15,Medium-High Complexity
110078,2.5710,3159,8121.79,High Complexity
110079,2.0190,3343,6749.49,High Complexity
110082,2.2431,4154,9317.71,High Complexity
110083,2.6345,6735,17743.53,High Complexity
110086,1.1502,144,165.64,Low-Medium Complexity
110087,2.1960,4888,10734.08,High Complexity
110089,1.4374,593,852.35,Medium Complexity
110091,1.6904,1628,2751.93,Medium-High Complexity
110092,1.2140,216,262.22,Medium Complexity
110095,1.5261,1690,2579.18,Medium-High Complexity
110100,1.0670,44,46.95,Low-Medium Complexity
110101,1.3917,62,86.28,Medium Complexity
110104,1.6404,423,693.88,Medium-High Complexity
110105,1.4379,1159,1666.53,Medium Complexity
110107,2.1981,4857,10676.25,High Complexity
110109,1.2619,209,263.74,Medium Complexity
110111,1.2667,213,269.81,Medium Complexity
110113,2.6651,126,335.80,High Complexity
110121,1.2271,83,101.85,Medium Complexity
110122,1.7018,3344,5690.76,Medium-High Complexity
110124,1.2443,523,650.75,Medium Complexity
110125,1.6052,1448,2324.27,Medium-High Complexity
110128,1.4928,826,1233.09,Medium Complexity
110129,2.0860,2082,4342.99,High Complexity
110132,1.1944,221,263.97,Low-Medium Complexity
110142,1.3037,148,192.95,Medium Complexity
110143,1.9205,2709,5202.58,Medium-High Complexity
110146,1.5536,257,399.28,Medium-High Complexity
110150,1.4566,402,585.54,Medium Complexity
110161,2.0306,3710,7533.41,High Complexity
110164,1.9565,2081,4071.57,Medium-High Complexity
110165,1.9802,554,1097.05,Medium-High Complexity
110168,2.0725,3300,6839.26,High Complexity
110177,2.1414,2682,5743.28,High Complexity
110184,1.7202,1338,2301.68,Medium-High Complexity
110191,1.7588,3083,5422.30,Medium-High Complexity
110192,1.7016,2035,3462.71,Medium-High Complexity
110194,1.0530,142,149.52,Low-Medium Complexity
110198,1.8448,2393,4414.57,Medium-High Complexity
110200,1.7553,1742,3057.76,Medium-High Complexity
110201,1.4264,561,800.23,Medium Complexity
110209,1.4812,610,903.53,Medium Complexity
110215,1.7289,4181,7228.35,Medium-High Complexity
110225,1.5511,1501,2328.23,Medium-High Complexity
110226,1.5810,582,920.12,Medium-High Complexity
110229,1.7124,2759,4724.43,Medium-High Complexity
110230,1.7339,2297,3982.75,Medium-High Complexity
110233,2.0467,253,517.83,High Complexity
110234,0.9909,32,31.71,Low Complexity
110236,1.2405,170,210.89,Medium Complexity
110237,1.1369,257,292.20,Low-Medium Complexity
110252,1.5877,1047,1662.31,Medium-High Complexity
120001,2.1650,6551,14182.83,High Complexity
120002,1.8126,1388,2515.94,Medium-High Complexity
120004,1.2414,85,105.52,Medium Complexity
120005,1.6749,1766,2957.86,Medium-High Complexity
120006,1.8384,1421,2612.39,Medium-High Complexity
120007,2.1655,942,2039.94,High Complexity
120011,1.9667,711,1398.33,Medium-High Complexity
120014,1.6282,694,1129.99,Medium-High Complexity
120019,1.6257,566,920.17,Medium-High Complexity
120022,2.3734,2077,4929.63,High Complexity
120026,1.9096,1866,3563.28,Medium-High Complexity
120028,1.5028,365,548.52,Medium-High Complexity
130002,1.6832,2157,3630.74,Medium-High Complexity
130003,1.9613,1254,2459.44,Medium-High Complexity
130006,2.0465,5453,11159.36,High Complexity
130007,2.1845,3711,8106.58,High Complexity
130013,1.5863,1261,2000.39,Medium-High Complexity
130014,1.7685,520,919.62,Medium-High Complexity
130018,2.3619,2529,5973.27,High Complexity
130025,1.6218,223,361.66,Medium-High Complexity
130028,2.1166,1935,4095.55,High Complexity
130049,2.1498,4969,10682.56,High Complexity
130063,3.3858,156,528.19,High Complexity
130065,2.7836,181,503.83,High Complexity
130066,4.0337,325,1310.95,High Complexity
130071,1.5481,967,1496.97,Medium-High Complexity
130074,1.7400,1147,1995.80,Medium-High Complexity
140001,1.4950,590,882.04,Medium Complexity
140002,1.5158,1900,2880.00,Medium-High Complexity
140007,1.7640,3855,6800.25,Medium-High Complexity
140008,1.6445,1507,2478.20,Medium-High Complexity
140010,1.8608,14161,26350.35,Medium-High Complexity
140011,1.4436,2063,2978.23,Medium Complexity
140012,1.4636,807,1181.11,Medium Complexity
140013,1.6264,997,1621.52,Medium-High Complexity
140015,1.7469,4579,7999.03,Medium-High Complexity
140018,2.2365,721,1612.55,High Complexity
140029,1.6661,3492,5817.86,Medium-High Complexity
140030,1.7013,4124,7016.20,Medium-High Complexity
140032,1.4359,1381,1983.04,Medium Complexity
140034,1.4335,1183,1695.88,Medium Complexity
140043,1.4800,1447,2141.54,Medium Complexity
140046,1.6242,2598,4219.69,Medium-High Complexity
140048,1.7124,3146,5387.13,Medium-High Complexity
140049,1.6721,704,1177.19,Medium-High Complexity
140052,1.5643,680,1063.74,Medium-High Complexity
140053,2.0953,4791,10038.52,High Complexity
140054,1.6692,1685,2812.64,Medium-High Complexity
140059,1.2536,339,424.98,Medium Complexity
140062,1.7151,8445,14484.24,Medium-High Complexity
140063,1.6001,1531,2449.82,Medium-High Complexity
140064,1.4335,1404,2012.66,Medium Complexity
140065,1.6669,2928,4880.65,Medium-High Complexity
140067,2.1529,8462,18217.89,High Complexity
140068,1.5017,356,534.62,Medium-High Complexity
140077,1.2293,94,115.56,Medium Complexity
140080,1.8307,1803,3300.73,Medium-High Complexity
140082,1.7769,945,1679.15,Medium-High Complexity
140083,1.3929,263,366.32,Medium Complexity
140084,1.6353,1064,1739.94,Medium-High Complexity
140088,2.5898,7226,18713.81,High Complexity
140089,1.4068,352,495.20,Medium Complexity
140091,1.8692,5851,10936.55,Medium-High Complexity
140093,1.3772,825,1136.18,Medium Complexity
140095,1.4331,260,372.60,Medium Complexity
140100,3.0927,187,578.33,High Complexity
140101,1.5843,1371,2172.14,Medium-High Complexity
140103,1.6294,273,444.84,Medium-High Complexity
140110,1.5046,1487,2237.36,Medium-High Complexity
140113,1.9708,762,1501.73,Medium-High Complexity
140114,1.7593,2013,3541.54,Medium-High Complexity
140115,1.3200,629,830.28,Medium Complexity
140116,1.7620,7631,13445.59,Medium-High Complexity
140117,1.9706,4136,8150.51,Medium-High Complexity
140119,2.4353,6719,16362.64,High Complexity
140120,1.3230,564,746.17,Medium Complexity
140122,1.9808,2656,5260.96,Medium-High Complexity
140124,1.9629,1090,2139.53,Medium-High Complexity
140125,1.5759,417,657.17,Medium-High Complexity
140127,1.6735,2008,3360.30,Medium-High Complexity
140130,1.6990,3854,6548.13,Medium-High Complexity
140133,1.4055,606,851.72,Medium Complexity
140135,1.6063,3065,4923.45,Medium-High Complexity
140137,1.2738,134,170.69,Medium Complexity
140145,1.4319,361,516.93,Medium Complexity
140148,1.9272,6031,11623.24,Medium-High Complexity
140150,2.2574,2440,5508.04,High Complexity
140155,1.6915,1307,2210.78,Medium-High Complexity
140158,1.8355,620,1138.03,Medium-High Complexity
140160,1.4235,928,1321.04,Medium Complexity
140161,1.3013,562,731.34,Medium Complexity
140162,1.7416,2403,4185.11,Medium-High Complexity
140164,1.8786,2565,4818.66,Medium-High Complexity
140166,1.6343,985,1609.76,Medium-High Complexity
140172,1.6772,2509,4208.16,Medium-High Complexity
140174,1.6861,1387,2338.56,Medium-High Complexity
140177,1.3188,438,577.65,Medium Complexity
140179,1.7036,2706,4609.99,Medium-High Complexity
140180,1.6614,1594,2648.27,Medium-High Complexity
140181,1.3920,395,549.84,Medium Complexity
140182,1.9193,2128,4084.29,Medium-High Complexity
140184,1.6185,1140,1845.09,Medium-High Complexity
140185,1.6830,4154,6991.03,Medium-High Complexity
140186,1.8164,2605,4731.72,Medium-High Complexity
140187,1.8932,3099,5867.15,Medium-High Complexity
140189,1.5243,2652,4042.38,Medium-High Complexity
140191,1.7371,1899,3298.77,Medium-High Complexity
140197,1.2470,184,229.45,Medium Complexity
140200,1.7985,5819,10465.55,Medium-High Complexity
140202,1.7803,5494,9780.99,Medium-High Complexity
140206,1.5541,699,1086.32,Medium-High Complexity
140208,2.2663,7790,17654.42,High Complexity
140209,1.9900,2592,5158.07,Medium-High Complexity
140210,1.3477,278,374.66,Medium Complexity
140211,1.7022,3867,6582.23,Medium-High Complexity
140213,1.8201,6929,12611.79,Medium-High Complexity
140217,1.8840,1107,2085.64,Medium-High Complexity
140223,2.0342,7714,15692.03,High Complexity
140224,1.4464,1561,2257.84,Medium Complexity
140228,1.8126,2989,5417.79,Medium-High Complexity
140231,1.8779,6887,12933.18,Medium-High Complexity
140233,1.9361,3792,7341.65,Medium-High Complexity
140239,1.8965,1974,3743.69,Medium-High Complexity
140242,1.9493,6854,13360.77,Medium-High Complexity
140251,1.5971,957,1528.38,Medium-High Complexity
140252,1.7898,8198,14672.83,Medium-High Complexity
140258,2.1372,4630,9895.07,High Complexity
140275,1.6512,627,1035.33,Medium-High Complexity
140276,2.5768,4813,12401.91,High Complexity
140280,1.8229,2460,4484.32,Medium-High Complexity
140281,2.7360,10562,28897.29,High Complexity
140286,1.6609,2120,3521.06,Medium-High Complexity
140288,2.0270,4924,9980.89,High Complexity
140289,1.4293,1785,2551.36,Medium Complexity
140290,1.6767,3077,5159.18,Medium-High Complexity
140291,1.7625,4112,7247.19,Medium-High Complexity
140292,1.5551,933,1450.87,Medium-High Complexity
140294,1.7064,285,486.32,Medium-High Complexity
140300,1.2234,109,133.35,Medium Complexity
140304,1.5892,1229,1953.08,Medium-High Complexity
140308,1.3730,107,146.92,Medium Complexity
140310,3.6152,25,90.38,High Complexity
150001,1.3275,481,638.53,Medium Complexity
150002,1.7102,2289,3914.59,Medium-High Complexity
150005,1.5920,1779,2832.09,Medium-High Complexity
150006,1.7046,1415,2412.06,Medium-High Complexity
150007,1.5626,1200,1875.18,Medium-High Complexity
150008,1.7024,944,1607.09,Medium-High Complexity
150009,1.5931,1944,3096.97,Medium-High Complexity
150010,1.5063,1153,1736.78,Medium-High Complexity
150011,1.4389,1059,1523.75,Medium Complexity
150012,1.8092,2715,4912.00,Medium-High Complexity
150015,1.6790,2462,4133.58,Medium-High Complexity
150017,2.2806,3730,8506.64,High Complexity
150018,1.7731,2574,4564.00,Medium-High Complexity
150021,1.8822,7687,14468.26,Medium-High Complexity
150022,1.3405,392,525.50,Medium Complexity
150023,1.7101,4938,8444.25,Medium-High Complexity
150024,2.0841,1279,2665.55,High Complexity
150026,1.6120,1199,1932.74,Medium-High Complexity
150030,1.5522,510,791.64,Medium-High Complexity
150034,1.7688,2866,5069.41,Medium-High Complexity
150035,1.9508,3689,7196.59,Medium-High Complexity
150037,1.4745,770,1135.39,Medium Complexity
150042,1.6024,1652,2647.09,Medium-High Complexity
150044,1.6449,5180,8520.74,Medium-High Complexity
150045,1.3686,320,437.95,Medium Complexity
150046,1.7942,1071,1921.64,Medium-High Complexity
150047,1.4755,157,231.65,Medium Complexity
150048,1.7980,4135,7434.55,Medium-High Complexity
150051,1.9427,3268,6348.63,Medium-High Complexity
150056,2.3864,7653,18263.31,High Complexity
150057,1.7049,683,1164.45,Medium-High Complexity
150058,1.8952,3683,6979.96,Medium-High Complexity
150059,1.5414,1051,1620.03,Medium-High Complexity
150061,1.3088,295,386.10,Medium Complexity
150065,1.8672,378,705.80,Medium-High Complexity
150069,1.6169,872,1409.90,Medium-High Complexity
150072,1.4791,322,476.28,Medium Complexity
150074,2.1638,3151,6818.08,High Complexity
150075,1.2824,191,244.94,Medium Complexity
150076,1.2409,304,377.22,Medium Complexity
150082,1.9499,11491,22406.64,Medium-High Complexity
150084,2.2608,6083,13752.73,High Complexity
150086,1.5883,1042,1655.00,Medium-High Complexity
150088,1.6023,844,1352.36,Medium-High Complexity
150089,1.8001,4090,7362.50,Medium-High Complexity
150090,1.7229,1706,2939.29,Medium-High Complexity
150091,1.3282,353,468.87,Medium Complexity
150097,1.5103,650,981.67,Medium-High Complexity
150100,2.0091,3862,7759.09,High Complexity
150101,1.2415,448,556.18,Medium Complexity
150102,1.1479,116,133.15,Low-Medium Complexity
150104,1.3547,625,846.71,Medium Complexity
150109,1.9535,2334,4559.40,Medium-High Complexity
150112,1.7202,3010,5177.90,Medium-High Complexity
150113,1.5277,1306,1995.17,Medium-High Complexity
150115,1.5846,1513,2397.51,Medium-High Complexity
150125,1.9776,6229,12318.66,Medium-High Complexity
150126,1.8507,3172,5870.57,Medium-High Complexity
150128,1.6501,2193,3618.58,Medium-High Complexity
150133,1.3565,676,916.99,Medium Complexity
150146,1.3469,350,471.41,Medium Complexity
150149,1.8238,29,52.89,Medium-High Complexity
150150,1.7744,404,716.85,Medium-High Complexity
150153,3.5584,1449,5156.07,High Complexity
150157,1.7696,1058,1872.29,Medium-High Complexity
150158,1.6531,2133,3525.98,Medium-High Complexity
150160,2.7927,465,1298.59,High Complexity
150161,1.6925,1831,3098.92,Medium-High Complexity
150162,2.1745,5778,12564.16,High Complexity
150165,1.6376,1367,2238.64,Medium-High Complexity
150166,2.6871,228,612.65,High Complexity
150167,3.8632,174,672.20,High Complexity
150168,2.9518,379,1118.73,High Complexity
150169,1.8214,3148,5733.79,Medium-High Complexity
150172,2.1648,73,158.03,High Complexity
150173,1.6817,3034,5102.36,Medium-High Complexity
150177,2.9919,83,248.33,High Complexity
150179,1.4119,54,76.24,Medium Complexity
150181,1.5175,201,305.03,Medium-High Complexity
150183,1.4481,444,642.96,Medium Complexity
150193,3.6348,151,548.86,High Complexity
150195,1.1626,7,8.14,Low-Medium Complexity
160001,1.4645,388,568.21,Medium Complexity
160013,1.4665,359,526.46,Medium Complexity
160016,1.6502,1269,2094.16,Medium-High Complexity
160028,1.6346,1136,1856.92,Medium-High Complexity
160029,1.6562,1552,2570.46,Medium-High Complexity
160030,1.5758,2794,4402.69,Medium-High Complexity
160032,1.4424,234,337.53,Medium Complexity
160033,1.9406,4356,8453.41,Medium-High Complexity
160040,1.5942,174,277.39,Medium-High Complexity
160045,1.9182,3310,6349.22,Medium-High Complexity
160047,1.5521,1835,2848.14,Medium-High Complexity
160057,1.7224,2174,3744.43,Medium-High Complexity
160058,2.7218,7459,20301.68,High Complexity
160064,1.8811,3655,6875.43,Medium-High Complexity
160067,1.6588,1346,2232.72,Medium-High Complexity
160069,1.7512,3789,6635.39,Medium-High Complexity
160079,1.7485,3182,5563.74,Medium-High Complexity
160080,1.4823,936,1387.42,Medium Complexity
160082,1.9577,8028,15716.13,Medium-High Complexity
160083,2.3150,6346,14690.99,High Complexity
160089,1.4201,446,633.36,Medium Complexity
160101,1.4991,281,421.26,Medium Complexity
160104,1.7440,694,1210.32,Medium-High Complexity
160110,1.9282,2445,4714.57,Medium-High Complexity
160112,1.6245,739,1200.52,Medium-High Complexity
160117,1.6879,1578,2663.52,Medium-High Complexity
160124,1.3355,475,634.35,Medium Complexity
160146,1.7221,2114,3640.44,Medium-High Complexity
160147,1.5099,388,585.83,Medium-High Complexity
160153,2.1217,1865,3957.05,High Complexity
170006,1.6864,621,1047.23,Medium-High Complexity
170009,1.4277,425,606.79,Medium Complexity
170012,2.0032,2474,4955.84,High Complexity
170013,1.9669,2301,4525.95,Medium-High Complexity
170014,1.5191,505,767.14,Medium-High Complexity
170016,1.7447,2492,4347.68,Medium-High Complexity
170017,1.5462,182,281.41,Medium-High Complexity
170020,1.8629,1862,3468.78,Medium-High Complexity
170023,1.7404,784,1364.49,Medium-High Complexity
170027,1.7497,647,1132.03,Medium-High Complexity
170040,2.5996,11267,29289.26,High Complexity
170049,1.7978,3144,5652.26,Medium-High Complexity
170068,1.6250,574,932.75,Medium-High Complexity
170074,1.2241,308,377.03,Medium Complexity
170086,1.9709,6745,13293.68,Medium-High Complexity
170103,1.5885,826,1312.14,Medium-High Complexity
170104,1.8683,3751,7007.87,Medium-High Complexity
170105,1.4944,334,499.12,Medium Complexity
170109,1.1118,173,192.34,Low-Medium Complexity
170120,1.6375,403,659.91,Medium-High Complexity
170122,2.1999,6719,14780.95,High Complexity
170123,2.1172,7880,16683.27,High Complexity
170137,1.8139,2261,4101.17,Medium-High Complexity
170142,1.6692,1189,1984.69,Medium-High Complexity
170145,1.4416,70,100.91,Medium Complexity
170146,1.8252,1263,2305.20,Medium-High Complexity
170175,1.6565,388,642.70,Medium-High Complexity
170176,2.0721,2901,6011.30,High Complexity
170182,1.8538,2883,5344.40,Medium-High Complexity
170183,2.2211,153,339.83,High Complexity
170185,1.4538,2086,3032.68,Medium Complexity
170186,2.6270,766,2012.26,High Complexity
170187,1.9591,410,803.24,Medium-High Complexity
170188,2.0927,630,1318.42,High Complexity
170190,2.1246,101,214.58,High Complexity
170191,1.5752,443,697.83,Medium-High Complexity
170194,2.0209,49,99.03,High Complexity
170196,3.3057,651,2152.03,High Complexity
170197,2.1381,878,1877.21,High Complexity
170198,2.6797,296,793.20,High Complexity
170199,2.5200,36,90.72,High Complexity
170200,1.5436,1203,1856.93,Medium-High Complexity
170203,3.7834,137,518.32,High Complexity
170204,1.3843,323,447.13,Medium Complexity
170208,1.6111,571,919.93,Medium-High Complexity
180001,1.4455,1502,2171.10,Medium Complexity
180002,1.3959,421,587.66,Medium Complexity
180004,1.4848,456,677.09,Medium Complexity
180005,1.6133,551,888.91,Medium-High Complexity
180009,1.8599,4395,8174.26,Medium-High Complexity
180010,2.3260,3135,7292.10,High Complexity
180011,1.7491,1184,2070.89,Medium-High Complexity
180012,1.5738,3609,5679.72,Medium-High Complexity
180013,1.9797,3679,7283.30,Medium-High Complexity
180016,1.4987,277,415.13,Medium Complexity
180017,1.5148,1307,1979.87,Medium-High Complexity
180018,1.7994,886,1594.25,Medium-High Complexity
180019,1.5552,471,732.48,Medium-High Complexity
180020,1.4709,243,357.42,Medium Complexity
180024,1.6294,242,394.31,Medium-High Complexity
180025,1.5219,527,802.07,Medium-High Complexity
180027,1.5390,1176,1809.89,Medium-High Complexity
180029,1.9847,941,1867.65,Medium-High Complexity
180035,1.9749,5561,10982.41,Medium-High Complexity
180038,1.7643,3655,6448.54,Medium-High Complexity
180040,2.2215,4950,10996.43,High Complexity
180043,1.6205,212,343.54,Medium-High Complexity
180044,1.8928,2873,5437.95,Medium-High Complexity
180045,1.6941,2442,4137.07,Medium-High Complexity
180046,1.2429,124,154.12,Medium Complexity
180048,1.7737,1552,2752.74,Medium-High Complexity
180049,1.4339,839,1203.01,Medium Complexity
180050,1.5035,475,714.15,Medium-High Complexity
180051,1.6440,815,1339.89,Medium-High Complexity
180056,1.5690,1238,1942.47,Medium-High Complexity
180064,1.5380,349,536.75,Medium-High Complexity
180066,1.3202,162,213.88,Medium Complexity
180067,2.4719,6265,15486.40,High Complexity
180069,1.3414,430,576.79,Medium Complexity
180070,1.3832,370,511.80,Medium Complexity
180078,1.4622,257,375.77,Medium Complexity
180079,1.4803,324,479.60,Medium Complexity
180080,1.5996,1363,2180.23,Medium-High Complexity
