diagnosis_code,description,cc_status,mdc,ms_drg_list,service
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S30.11XD,"Contusion of abdominal wall, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.11XS,"Contusion of abdominal wall, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.12XA,"Contusion of groin, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S30.12XD,"Contusion of groin, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.12XS,"Contusion of groin, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.13XA,"Contusion of flank (latus) region, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S30.13XD,"Contusion of flank (latus) region, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.13XS,"Contusion of flank (latus) region, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.81AA,"Abrasion of flank, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.81AD,"Abrasion of flank, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.81AS,"Abrasion of flank, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.82AA,"Blister (nonthermal) of flank, initial encounter",N,09,"606, 607",Skin/Subcutaneous Tissue
S30.82AD,"Blister (nonthermal) of flank, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.82AS,"Blister (nonthermal) of flank, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.84AA,"External constriction of flank, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S30.84AD,"External constriction of flank, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.84AS,"External constriction of flank, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.85AA,"Superficial foreign body of flank, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.85AD,"Superficial foreign body of flank, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.85AS,"Superficial foreign body of flank, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.86AA,"Insect bite (nonvenomous) of flank, initial encounter",N,09,"606, 607",Skin/Subcutaneous Tissue
S30.86AD,"Insect bite (nonvenomous) of flank, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.86AS,"Insect bite (nonvenomous) of flank, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.87AA,"Other superficial bite of flank, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.87AD,"Other superficial bite of flank, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.87AS,"Other superficial bite of flank, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.9AXA,"Unspecified superficial injury of flank, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
S30.9AXD,"Unspecified superficial injury of flank, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S30.9AXS,"Unspecified superficial injury of flank, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.106A,"Unspecified open wound of abdominal wall, right flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.106D,"Unspecified open wound of abdominal wall, right flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.106S,"Unspecified open wound of abdominal wall, right flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.107A,"Unspecified open wound of abdominal wall, left flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.107D,"Unspecified open wound of abdominal wall, left flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.107S,"Unspecified open wound of abdominal wall, left flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.10AA,"Unspecified open wound of abdominal wall, unspecified flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.10AD,"Unspecified open wound of abdominal wall, unspecified flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.10AS,"Unspecified open wound of abdominal wall, unspecified flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.116A,"Laceration without foreign body of abdominal wall, right flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.116D,"Laceration without foreign body of abdominal wall, right flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.116S,"Laceration without foreign body of abdominal wall, right flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.117A,"Laceration without foreign body of abdominal wall, left flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.117D,"Laceration without foreign body of abdominal wall, left flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.117S,"Laceration without foreign body of abdominal wall, left flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.11AA,"Laceration without foreign body of abdominal wall, unspecified flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.11AD,"Laceration without foreign body of abdominal wall, unspecified flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.11AS,"Laceration without foreign body of abdominal wall, unspecified flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.126A,"Laceration with foreign body of abdominal wall, right flank without penetration into peritoneal cavity, initial encounter",N,21,"913, 914",Injuries/Poisoning/Toxic Effects
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.126D,"Laceration with foreign body of abdominal wall, right flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.126S,"Laceration with foreign body of abdominal wall, right flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.127A,"Laceration with foreign body of abdominal wall, left flank without penetration into peritoneal cavity, initial encounter",N,21,"913, 914",Injuries/Poisoning/Toxic Effects
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.127D,"Laceration with foreign body of abdominal wall, left flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.127S,"Laceration with foreign body of abdominal wall, left flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.12AA,"Laceration with foreign body of abdominal wall unspecified flank without penetration into peritoneal cavity, initial encounter",N,21,"913, 914",Injuries/Poisoning/Toxic Effects
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.12AD,"Laceration with foreign body of abdominal wall unspecified flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.12AS,"Laceration with foreign body of abdominal wall unspecified flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.136A,"Puncture wound of abdominal wall without foreign body, right flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.136D,"Puncture wound of abdominal wall without foreign body, right flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.136S,"Puncture wound of abdominal wall without foreign body, right flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.137A,"Puncture wound of abdominal wall without foreign body, left flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.137D,"Puncture wound of abdominal wall without foreign body, left flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.137S,"Puncture wound of abdominal wall without foreign body, left flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.13AA,"Puncture wound of abdominal wall without foreign body, unspecified flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.13AD,"Puncture wound of abdominal wall without foreign body, unspecified flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.13AS,"Puncture wound of abdominal wall without foreign body, unspecified flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.146A,"Puncture wound of abdominal wall with foreign body, right flank without penetration into peritoneal cavity, initial encounter",N,21,"913, 914",Injuries/Poisoning/Toxic Effects
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.146D,"Puncture wound of abdominal wall with foreign body, right flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.146S,"Puncture wound of abdominal wall with foreign body, right flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.147A,"Puncture wound of abdominal wall with foreign body, left flank without penetration into peritoneal cavity, initial encounter",N,21,"913, 914",Injuries/Poisoning/Toxic Effects
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.147D,"Puncture wound of abdominal wall with foreign body, left flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.147S,"Puncture wound of abdominal wall with foreign body, left flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.14AA,"Puncture wound of abdominal wall with foreign body, unspecified flank without penetration into peritoneal cavity, initial encounter",N,21,"913, 914",Injuries/Poisoning/Toxic Effects
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.14AD,"Puncture wound of abdominal wall with foreign body, unspecified flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.14AS,"Puncture wound of abdominal wall with foreign body, unspecified flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.156A,"Open bite of abdominal wall, right flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.156D,"Open bite of abdominal wall, right flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.156S,"Open bite of abdominal wall, right flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.157A,"Open bite of abdominal wall, left flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.157D,"Open bite of abdominal wall, left flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.157S,"Open bite of abdominal wall, left flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.15AA,"Open bite of abdominal wall, unspecified flank without penetration into peritoneal cavity, initial encounter",N,09,"604, 605",Skin/Subcutaneous Tissue
"""""",,,24,"963, 964, 965",Multiple Significant Trauma
S31.15AD,"Open bite of abdominal wall, unspecified flank without penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.15AS,"Open bite of abdominal wall, unspecified flank without penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.606A,"Unspecified open wound of abdominal wall, right flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.606D,"Unspecified open wound of abdominal wall, right flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.606S,"Unspecified open wound of abdominal wall, right flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.607A,"Unspecified open wound of abdominal wall, left flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.607D,"Unspecified open wound of abdominal wall, left flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.607S,"Unspecified open wound of abdominal wall, left flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.60AA,"Unspecified open wound of abdominal wall, unspecified flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.60AD,"Unspecified open wound of abdominal wall, unspecified flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.60AS,"Unspecified open wound of abdominal wall, unspecified flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.616A,"Laceration without foreign body of abdominal wall, right flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.616D,"Laceration without foreign body of abdominal wall, right flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.616S,"Laceration without foreign body of abdominal wall, right flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.617A,"Laceration without foreign body of abdominal wall, left flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.617D,"Laceration without foreign body of abdominal wall, left flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.617S,"Laceration without foreign body of abdominal wall, left flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.61AA,"Laceration without foreign body of abdominal wall, unspecified flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.61AD,"Laceration without foreign body of abdominal wall, unspecified flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.61AS,"Laceration without foreign body of abdominal wall, unspecified flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.626A,"Laceration with foreign body of abdominal wall, right flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.626D,"Laceration with foreign body of abdominal wall, right flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.626S,"Laceration with foreign body of abdominal wall, right flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.627A,"Laceration with foreign body of abdominal wall, left flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.627D,"Laceration with foreign body of abdominal wall, left flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.627S,"Laceration with foreign body of abdominal wall, left flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.62AA,"Laceration with foreign body of abdominal wall, unspecified flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.62AD,"Laceration with foreign body of abdominal wall, unspecified flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.62AS,"Laceration with foreign body of abdominal wall, unspecified flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.636A,"Puncture wound of abdominal wall without foreign body, right flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.636D,"Puncture wound of abdominal wall without foreign body, right flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.636S,"Puncture wound of abdominal wall without foreign body, right flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.637A,"Puncture wound of abdominal wall without foreign body, left flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.637D,"Puncture wound of abdominal wall without foreign body, left flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.637S,"Puncture wound of abdominal wall without foreign body, left flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.63AA,"Puncture wound of abdominal wall without foreign body, unspecified flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.63AD,"Puncture wound of abdominal wall without foreign body, unspecified flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.63AS,"Puncture wound of abdominal wall without foreign body, unspecified flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.646A,"Puncture wound of abdominal wall with foreign body, right flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.646D,"Puncture wound of abdominal wall with foreign body, right flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.646S,"Puncture wound of abdominal wall with foreign body, right flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.647A,"Puncture wound of abdominal wall with foreign body, left flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.647D,"Puncture wound of abdominal wall with foreign body, left flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.647S,"Puncture wound of abdominal wall with foreign body, left flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.64AA,"Puncture wound of abdominal wall with foreign body, unspecified flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.64AD,"Puncture wound of abdominal wall with foreign body, unspecified flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.64AS,"Puncture wound of abdominal wall with foreign body, unspecified flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.656A,"Open bite of abdominal wall, right flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.656D,"Open bite of abdominal wall, right flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.656S,"Open bite of abdominal wall, right flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.657A,"Open bite of abdominal wall, left flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.657D,"Open bite of abdominal wall, left flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.657S,"Open bite of abdominal wall, left flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
S31.65AA,"Open bite of abdominal wall, unspecified flank with penetration into peritoneal cavity, initial encounter",M,06,"393, 394, 395",Digestive System
"""""",,,24,"963(3), 964(3), 965(3)",Multiple Significant Trauma
S31.65AD,"Open bite of abdominal wall, unspecified flank with penetration into peritoneal cavity, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
S31.65AS,"Open bite of abdominal wall, unspecified flank with penetration into peritoneal cavity, sequela",N,09,"604, 605",Skin/Subcutaneous Tissue
T36.AX1A,"Poisoning by fluoroquinolone antibiotics, accidental (unintentional), initial encounter",N,21,"917, 918",Injuries/Poisoning/Toxic Effects
T36.AX1D,"Poisoning by fluoroquinolone antibiotics, accidental (unintentional), subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T36.AX1S,"Poisoning by fluoroquinolone antibiotics, accidental (unintentional), sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T36.AX2A,"Poisoning by fluoroquinolone antibiotics, intentional self-harm, initial encounter",N,21,"917, 918",Injuries/Poisoning/Toxic Effects
T36.AX2D,"Poisoning by fluoroquinolone antibiotics, intentional self-harm, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T36.AX2S,"Poisoning by fluoroquinolone antibiotics, intentional self-harm, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T36.AX3A,"Poisoning by fluoroquinolone antibiotics, assault, initial encounter",N,21,"917, 918",Injuries/Poisoning/Toxic Effects
T36.AX3D,"Poisoning by fluoroquinolone antibiotics, assault, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T36.AX3S,"Poisoning by fluoroquinolone antibiotics, assault, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T36.AX4A,"Poisoning by fluoroquinolone antibiotics, undetermined, initial encounter",N,21,"917, 918",Injuries/Poisoning/Toxic Effects
T36.AX4D,"Poisoning by fluoroquinolone antibiotics, undetermined, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T36.AX4S,"Poisoning by fluoroquinolone antibiotics, undetermined, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T36.AX5A,"Adverse effect of fluoroquinolone antibiotics, initial encounter",N,15,"791(1), 793(1)",Newborns/Neonates
"""""",,,21,"917, 918",Injuries/Poisoning/Toxic Effects
T36.AX5D,"Adverse effect of fluoroquinolone antibiotics, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T36.AX5S,"Adverse effect of fluoroquinolone antibiotics, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T36.AX6A,"Underdosing of fluoroquinolone antibiotics, initial encounter",N,23,951,Factors Influencing Health Status
T36.AX6D,"Underdosing of fluoroquinolone antibiotics, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T36.AX6S,"Underdosing of fluoroquinolone antibiotics, sequela",N,23,"949, 950",Factors Influencing Health Status
T65.841A,"Toxic effect of xylazine, accidental (unintentional), initial encounter",N,21,"917, 918",Injuries/Poisoning/Toxic Effects
T65.841D,"Toxic effect of xylazine, accidental (unintentional), subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T65.841S,"Toxic effect of xylazine, accidental (unintentional), sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T65.842A,"Toxic effect of xylazine, intentional self-harm, initial encounter",N,21,"917, 918",Injuries/Poisoning/Toxic Effects
T65.842D,"Toxic effect of xylazine, intentional self-harm, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T65.842S,"Toxic effect of xylazine, intentional self-harm, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T65.843A,"Toxic effect of xylazine, assault, initial encounter",N,21,"917, 918",Injuries/Poisoning/Toxic Effects
T65.843D,"Toxic effect of xylazine, assault, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T65.843S,"Toxic effect of xylazine, assault, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T65.844A,"Toxic effect of xylazine, undetermined, initial encounter",N,21,"917, 918",Injuries/Poisoning/Toxic Effects
T65.844D,"Toxic effect of xylazine, undetermined, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T65.844S,"Toxic effect of xylazine, undetermined, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T75.830A,"Gulf war illness, initial encounter",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T75.830D,"Gulf war illness, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T75.830S,"Gulf war illness, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T75.838A,"Effects of other war theater, initial encounter",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T75.838D,"Effects of other war theater, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T75.838S,"Effects of other war theater, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.070A,"Anaphylactic reaction due to milk and dairy products with tolerance to baked milk, initial encounter",C,21,"915, 916",Injuries/Poisoning/Toxic Effects
T78.070D,"Anaphylactic reaction due to milk and dairy products with tolerance to baked milk, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T78.070S,"Anaphylactic reaction due to milk and dairy products with tolerance to baked milk, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.071A,"Anaphylactic reaction due to milk and dairy products with reactivity to baked milk, initial encounter",C,21,"915, 916",Injuries/Poisoning/Toxic Effects
T78.071D,"Anaphylactic reaction due to milk and dairy products with reactivity to baked milk, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T78.071S,"Anaphylactic reaction due to milk and dairy products with reactivity to baked milk, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.079A,"Anaphylactic reaction due to milk and dairy products, unspecified, initial encounter",C,21,"915, 916",Injuries/Poisoning/Toxic Effects
T78.079D,"Anaphylactic reaction due to milk and dairy products, unspecified, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T78.079S,"Anaphylactic reaction due to milk and dairy products, unspecified, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.080A,"Anaphylactic reaction due to egg with tolerance to baked egg, initial encounter",C,21,"915, 916",Injuries/Poisoning/Toxic Effects
T78.080D,"Anaphylactic reaction due to egg with tolerance to baked egg, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T78.080S,"Anaphylactic reaction due to egg with tolerance to baked egg, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.081A,"Anaphylactic reaction due to egg with reactivity to baked egg, initial encounter",C,21,"915, 916",Injuries/Poisoning/Toxic Effects
T78.081D,"Anaphylactic reaction due to egg with reactivity to baked egg, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T78.081S,"Anaphylactic reaction due to egg with reactivity to baked egg, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.089A,"Anaphylactic reaction due to eggs, unspecified, initial encounter",C,21,"915, 916",Injuries/Poisoning/Toxic Effects
T78.089D,"Anaphylactic reaction due to eggs, unspecified, subsequent encounter",N,23,"949, 950",Factors Influencing Health Status
T78.089S,"Anaphylactic reaction due to eggs, unspecified, sequela",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
T78.110A,"Other adverse food reactions due to milk and dairy products with tolerance to baked milk, initial encounter",N,21,"922, 923",Injuries/Poisoning/Toxic Effects
